Project,MetricType,Version,LOC,NOM,NOC,CyclomaticComplexity
public-apis,Code,1,1193,55,3,129
public-apis,Code,2,1193,55,3,129
public-apis,Code,3,1193,55,3,129
public-apis,Code,4,1193,55,3,129
public-apis,Code,5,1193,55,3,129
public-apis,Code,6,1193,55,3,129
public-apis,Code,7,1193,55,3,129
public-apis,Code,8,1193,55,3,129
public-apis,Code,9,1193,55,3,129
public-apis,Code,10,1193,55,3,129
public-apis,Code,11,1193,55,3,129
public-apis,Code,12,1193,55,3,129
public-apis,Text,1,639,33,3,55
public-apis,Text,2,639,33,3,55
public-apis,Text,3,639,33,3,55
public-apis,Text,4,639,33,3,55
public-apis,Text,5,639,33,3,55
public-apis,Text,6,639,33,3,55
public-apis,Text,7,639,33,3,55
public-apis,Text,8,639,33,3,55
public-apis,Text,9,639,33,3,55
public-apis,Text,10,639,33,3,55
public-apis,Text,11,639,33,3,55
public-apis,Text,12,639,33,3,55
stable-diffusion-webui,Code,1,40936,1863,311,6941
stable-diffusion-webui,Code,2,40936,1863,311,6941
stable-diffusion-webui,Code,3,40936,1863,311,6941
stable-diffusion-webui,Code,4,40936,1863,311,6941
stable-diffusion-webui,Code,5,40936,1863,311,6941
stable-diffusion-webui,Code,6,40936,1863,311,6941
stable-diffusion-webui,Code,7,40936,1863,311,6941
stable-diffusion-webui,Code,8,40936,1863,311,6941
stable-diffusion-webui,Code,9,40936,1863,311,6941
stable-diffusion-webui,Code,10,40938,1863,311,6941
stable-diffusion-webui,Code,11,40938,1863,311,6941
stable-diffusion-webui,Code,12,40938,1863,311,6941
stable-diffusion-webui,Text,1,310,30,0,37
stable-diffusion-webui,Text,2,310,30,0,37
stable-diffusion-webui,Text,3,310,30,0,37
stable-diffusion-webui,Text,4,310,30,0,37
stable-diffusion-webui,Text,5,310,30,0,37
stable-diffusion-webui,Text,6,310,30,0,37
stable-diffusion-webui,Text,7,310,30,0,37
stable-diffusion-webui,Text,8,310,30,0,37
stable-diffusion-webui,Text,9,310,30,0,37
stable-diffusion-webui,Text,10,310,30,0,37
stable-diffusion-webui,Text,11,310,30,0,37
stable-diffusion-webui,Text,12,310,30,0,37
youtube-dl,Code,1,165631,3462,1645,16696
youtube-dl,Code,2,165631,3462,1645,16696
youtube-dl,Code,3,165185,3452,1638,16655
youtube-dl,Code,4,165157,3452,1638,16652
youtube-dl,Code,5,165145,3452,1638,16652
youtube-dl,Code,6,165103,3452,1638,16650
youtube-dl,Code,7,165097,3452,1638,16649
youtube-dl,Code,8,165088,3452,1638,16645
youtube-dl,Code,9,165081,3451,1638,16646
youtube-dl,Code,10,165048,3450,1638,16641
youtube-dl,Code,11,165051,3450,1638,16642
youtube-dl,Code,12,165069,3450,1638,16650
youtube-dl,Text,1,8714,434,69,725
youtube-dl,Text,2,8714,434,69,725
youtube-dl,Text,3,8714,434,69,725
youtube-dl,Text,4,8714,434,69,725
youtube-dl,Text,5,8702,434,69,725
youtube-dl,Text,6,8702,434,69,725
youtube-dl,Text,7,8702,434,69,725
youtube-dl,Text,8,8702,434,69,725
youtube-dl,Text,9,8688,433,69,724
youtube-dl,Text,10,8688,433,69,724
